date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,3800920.7084907033,3794132.436841856,3801761.829857892,total,total,7,LassoForecaster
2026-03-12,3090244.6621022066,3083398.8199583627,3090734.675581798,total,total,7,LassoForecaster
2026-03-13,3125501.7746120496,3087197.2188015245,3125501.7746120496,total,total,7,LassoForecaster
2026-03-14,4080301.480796595,4072877.7377878395,4081054.6255771853,total,total,7,LassoForecaster
2026-03-15,5805508.537873472,5797546.897175258,5806261.682654062,total,total,7,LassoForecaster
2026-03-16,4797696.41809403,4786482.305549918,4797696.41809403,total,total,7,LassoForecaster
2026-03-17,4926731.122048028,4913003.989594746,4926731.122048028,total,total,7,LassoForecaster
2026-03-11,3800920.7084907033,3793496.9654819476,3800920.7084907033,total,total,14,LassoForecaster
2026-03-12,3090244.6621022066,3082495.671908861,3090244.6621022066,total,total,14,LassoForecaster
2026-03-13,3125501.7746120496,3114287.6620679377,3133033.2224179525,total,total,14,LassoForecaster
2026-03-14,4080301.480796595,4066574.348343314,4080791.4942761865,total,total,14,LassoForecaster
2026-03-15,5805508.537873472,5797546.897175258,5813127.962265974,total,total,14,LassoForecaster
2026-03-16,4797696.41809403,4786482.305549918,4797696.41809403,total,total,14,LassoForecaster
2026-03-17,4926731.122048028,4918192.932174308,4926731.122048028,total,total,14,LassoForecaster
2026-03-18,5572863.815938212,5561649.7033941,5581275.0296101,total,total,14,LassoForecaster
2026-03-19,4896766.132737237,4888479.244854433,4896766.132737237,total,total,14,LassoForecaster
2026-03-20,5004935.314175115,4990154.731142945,5012554.738567617,total,total,14,LassoForecaster
2026-03-21,5644804.179388181,5637380.436379425,5652423.603780683,total,total,14,LassoForecaster
2026-03-22,6612861.380134138,6604899.739435924,6613351.39361373,total,total,14,LassoForecaster
2026-03-23,5697262.35553445,5686048.242990338,5704881.779926952,total,total,14,LassoForecaster
2026-03-24,6020596.766615937,6009131.352080909,6028128.21442184,total,total,14,LassoForecaster
2026-03-11,3800920.7084907033,3792959.0677924897,3806083.9745876137,total,total,30,LassoForecaster
2026-03-12,3090244.6621022066,3081957.774219403,3095144.7968981178,total,total,30,LassoForecaster
2026-03-13,3125501.7746120496,3114287.6620679377,3125501.7746120496,total,total,30,LassoForecaster
2026-03-14,4080301.480796595,4072552.4906032495,4088712.6944684833,total,total,30,LassoForecaster
2026-03-15,5805508.537873472,5798720.266224625,5810759.7805569805,total,total,30,LassoForecaster
2026-03-16,4797696.41809403,4790272.675085274,4797696.41809403,total,total,30,LassoForecaster
2026-03-17,4926731.122048028,4918192.932174308,4931631.256843939,total,total,30,LassoForecaster
2026-03-18,5572863.815938212,5558083.232906042,5580395.263744115,total,total,30,LassoForecaster
2026-03-19,4896766.132737237,4889920.290593393,4901929.398834147,total,total,30,LassoForecaster
2026-03-20,5004935.314175115,4998147.0425262675,5004935.314175115,total,total,30,LassoForecaster
2026-03-21,5644804.179388181,5633338.764853152,5652335.627194084,total,total,30,LassoForecaster
2026-03-22,6612861.380134138,6599028.902622969,6612861.380134138,total,total,30,LassoForecaster
2026-03-23,5697262.35553445,5686048.242990338,5705673.569206338,total,total,30,LassoForecaster
2026-03-24,6020596.766615937,6006764.289104768,6021086.780095529,total,total,30,LassoForecaster
2026-03-25,6503679.2319744425,6496890.960325595,6508842.498071352,total,total,30,LassoForecaster
2026-03-26,5893802.713989907,5882337.299454878,5894292.727469498,total,total,30,LassoForecaster
2026-03-27,6100297.0801319,6086569.947678618,6100297.0801319,total,total,30,LassoForecaster
2026-03-28,6543090.73823615,6531625.323701121,6543090.73823615,total,total,30,LassoForecaster
2026-03-29,7076554.811454898,7065340.698910786,7077044.824934489,total,total,30,LassoForecaster
2026-03-30,6343798.380703149,6332584.268159037,6344288.394182741,total,total,30,LassoForecaster
2026-03-31,6740626.368401385,6733202.625392629,6745789.634498294,total,total,30,LassoForecaster
2026-04-01,7616165.1195402015,7607878.231657399,7616165.1195402015,total,total,30,LassoForecaster
2026-04-02,7336438.3089328045,7322711.176479524,7344817.695225024,total,total,30,LassoForecaster
2026-04-03,7559772.557195034,7548558.444650922,7567304.005000937,total,total,30,LassoForecaster
2026-04-04,7933719.944188708,7922505.8316445965,7933719.944188708,total,total,30,LassoForecaster
2026-04-05,8174258.466408355,8160531.333955074,8182669.680080243,total,total,30,LassoForecaster
2026-04-06,7641890.44542763,7630676.332883518,7649421.893233533,total,total,30,LassoForecaster
2026-04-07,8010481.312707129,7999015.8981721,8010971.32618672,total,total,30,LassoForecaster
2026-04-08,8543841.153303558,8535879.512605345,8544594.29808415,total,total,30,LassoForecaster
2026-04-09,8183136.956878193,8171922.844334081,8183136.956878193,total,total,30,LassoForecaster
