date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,899614.502,719691.6016,1079537.4024,total,total,7,NaiveSeasonalWeekly
2026-03-12,732535.708,586028.5664,879042.8496,total,total,7,NaiveSeasonalWeekly
2026-03-13,703087.6780000001,562470.1424000001,843705.2136,total,total,7,NaiveSeasonalWeekly
2026-03-14,949199.7359999999,759359.7888,1139039.6831999999,total,total,7,NaiveSeasonalWeekly
2026-03-15,1627379.1739999999,1301903.3392,1952855.0087999997,total,total,7,NaiveSeasonalWeekly
2026-03-16,1368545.926,1094836.7408,1642255.1112,total,total,7,NaiveSeasonalWeekly
2026-03-17,1264023.634,1011218.9072000001,1516828.3608000001,total,total,7,NaiveSeasonalWeekly
2026-03-11,899614.502,719691.6016,1079537.4024,total,total,14,NaiveSeasonalWeekly
2026-03-12,732535.708,586028.5664,879042.8496,total,total,14,NaiveSeasonalWeekly
2026-03-13,703087.6780000001,562470.1424000001,843705.2136,total,total,14,NaiveSeasonalWeekly
2026-03-14,949199.7359999999,759359.7888,1139039.6831999999,total,total,14,NaiveSeasonalWeekly
2026-03-15,1627379.1739999999,1301903.3392,1952855.0087999997,total,total,14,NaiveSeasonalWeekly
2026-03-16,1368545.926,1094836.7408,1642255.1112,total,total,14,NaiveSeasonalWeekly
2026-03-17,1264023.634,1011218.9072000001,1516828.3608000001,total,total,14,NaiveSeasonalWeekly
2026-03-18,899614.502,719691.6016,1079537.4024,total,total,14,NaiveSeasonalWeekly
2026-03-19,732535.708,586028.5664,879042.8496,total,total,14,NaiveSeasonalWeekly
2026-03-20,703087.6780000001,562470.1424000001,843705.2136,total,total,14,NaiveSeasonalWeekly
2026-03-21,949199.7359999999,759359.7888,1139039.6831999999,total,total,14,NaiveSeasonalWeekly
2026-03-22,1627379.1739999999,1301903.3392,1952855.0087999997,total,total,14,NaiveSeasonalWeekly
2026-03-23,1368545.926,1094836.7408,1642255.1112,total,total,14,NaiveSeasonalWeekly
2026-03-24,1264023.634,1011218.9072000001,1516828.3608000001,total,total,14,NaiveSeasonalWeekly
2026-03-11,899614.502,719691.6016,1079537.4024,total,total,30,NaiveSeasonalWeekly
2026-03-12,732535.708,586028.5664,879042.8496,total,total,30,NaiveSeasonalWeekly
2026-03-13,703087.6780000001,562470.1424000001,843705.2136,total,total,30,NaiveSeasonalWeekly
2026-03-14,949199.7359999999,759359.7888,1139039.6831999999,total,total,30,NaiveSeasonalWeekly
2026-03-15,1627379.1739999999,1301903.3392,1952855.0087999997,total,total,30,NaiveSeasonalWeekly
2026-03-16,1368545.926,1094836.7408,1642255.1112,total,total,30,NaiveSeasonalWeekly
2026-03-17,1264023.634,1011218.9072000001,1516828.3608000001,total,total,30,NaiveSeasonalWeekly
2026-03-18,899614.502,719691.6016,1079537.4024,total,total,30,NaiveSeasonalWeekly
2026-03-19,732535.708,586028.5664,879042.8496,total,total,30,NaiveSeasonalWeekly
2026-03-20,703087.6780000001,562470.1424000001,843705.2136,total,total,30,NaiveSeasonalWeekly
2026-03-21,949199.7359999999,759359.7888,1139039.6831999999,total,total,30,NaiveSeasonalWeekly
2026-03-22,1627379.1739999999,1301903.3392,1952855.0087999997,total,total,30,NaiveSeasonalWeekly
2026-03-23,1368545.926,1094836.7408,1642255.1112,total,total,30,NaiveSeasonalWeekly
2026-03-24,1264023.634,1011218.9072000001,1516828.3608000001,total,total,30,NaiveSeasonalWeekly
2026-03-25,899614.502,719691.6016,1079537.4024,total,total,30,NaiveSeasonalWeekly
2026-03-26,732535.708,586028.5664,879042.8496,total,total,30,NaiveSeasonalWeekly
2026-03-27,703087.6780000001,562470.1424000001,843705.2136,total,total,30,NaiveSeasonalWeekly
2026-03-28,949199.7359999999,759359.7888,1139039.6831999999,total,total,30,NaiveSeasonalWeekly
2026-03-29,1627379.1739999999,1301903.3392,1952855.0087999997,total,total,30,NaiveSeasonalWeekly
2026-03-30,1368545.926,1094836.7408,1642255.1112,total,total,30,NaiveSeasonalWeekly
2026-03-31,1264023.634,1011218.9072000001,1516828.3608000001,total,total,30,NaiveSeasonalWeekly
2026-04-01,899614.502,719691.6016,1079537.4024,total,total,30,NaiveSeasonalWeekly
2026-04-02,732535.708,586028.5664,879042.8496,total,total,30,NaiveSeasonalWeekly
2026-04-03,703087.6780000001,562470.1424000001,843705.2136,total,total,30,NaiveSeasonalWeekly
2026-04-04,949199.7359999999,759359.7888,1139039.6831999999,total,total,30,NaiveSeasonalWeekly
2026-04-05,1627379.1739999999,1301903.3392,1952855.0087999997,total,total,30,NaiveSeasonalWeekly
2026-04-06,1368545.926,1094836.7408,1642255.1112,total,total,30,NaiveSeasonalWeekly
2026-04-07,1264023.634,1011218.9072000001,1516828.3608000001,total,total,30,NaiveSeasonalWeekly
2026-04-08,899614.502,719691.6016,1079537.4024,total,total,30,NaiveSeasonalWeekly
2026-04-09,732535.708,586028.5664,879042.8496,total,total,30,NaiveSeasonalWeekly
