date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,3055431.400147585,3044858.6865943833,3058206.924848088,total,total,7,RidgeForecaster
2026-03-12,2683526.594877174,2653468.8822436044,2693153.3757728734,total,total,7,RidgeForecaster
2026-03-13,2566833.2177660502,2558382.955927291,2567787.764905391,total,total,7,RidgeForecaster
2026-03-14,2885455.3176306663,2877005.055791907,2894402.3553536003,total,total,7,RidgeForecaster
2026-03-15,3231026.344880286,3201351.5658971006,3239973.38260322,total,total,7,RidgeForecaster
2026-03-16,2924335.4506137297,2913762.737060528,2931461.5107755014,total,total,7,RidgeForecaster
2026-03-17,2938333.589811259,2927760.876258057,2938333.589811259,total,total,7,RidgeForecaster
2026-03-11,3055431.400147585,3048256.8592548645,3056385.9472869257,total,total,14,RidgeForecaster
2026-03-12,2683526.594877174,2675287.2417088724,2683526.594877174,total,total,14,RidgeForecaster
2026-03-13,2566833.2177660502,2558382.955927291,2598966.4852670995,total,total,14,RidgeForecaster
2026-03-14,2885455.3176306663,2877215.9644623646,2894402.3553536003,total,total,14,RidgeForecaster
2026-03-15,3231026.344880286,3222765.9008449386,3256362.1806536824,total,total,14,RidgeForecaster
2026-03-16,2924335.4506137297,2894277.73798016,2924362.3329607476,total,total,14,RidgeForecaster
2026-03-17,2938333.589811259,2930073.1457759114,2938333.589811259,total,total,14,RidgeForecaster
2026-03-18,2975974.2767152367,2965363.2697969964,3008660.0909191426,total,total,14,RidgeForecaster
2026-03-19,2858669.2446774775,2828611.532043908,2865795.3048392492,total,total,14,RidgeForecaster
2026-03-20,2837572.1002970105,2829121.838458251,2870257.9145009164,total,total,14,RidgeForecaster
2026-03-21,2950564.0440675933,2920506.3314340236,2975899.8798409896,total,total,14,RidgeForecaster
2026-03-22,3035027.453707102,3026767.0096717547,3043974.4914300363,total,total,14,RidgeForecaster
2026-03-23,2936539.88107357,2925967.167520368,2962555.4600197314,total,total,14,RidgeForecaster
2026-03-24,2966304.0642184527,2936246.351584883,2998437.331719502,total,total,14,RidgeForecaster
2026-03-11,3055431.400147585,3025756.6211643997,3081446.9790937467,total,total,30,RidgeForecaster
2026-03-12,2683526.594877174,2672953.8813239723,2715659.8623782233,total,total,30,RidgeForecaster
2026-03-13,2566833.2177660502,2537120.1454178263,2573959.277927822,total,total,30,RidgeForecaster
2026-03-14,2885455.3176306663,2876098.940791419,2911470.896576828,total,total,30,RidgeForecaster
2026-03-15,3231026.344880286,3221708.261406077,3256362.1806536824,total,total,30,RidgeForecaster
2026-03-16,2924335.4506137297,2917139.818853963,2924335.4506137297,total,total,30,RidgeForecaster
2026-03-17,2938333.589811259,2930094.236642957,2964349.1687574205,total,total,30,RidgeForecaster
2026-03-18,2975974.2767152367,2967713.832679889,3008107.544216286,total,total,30,RidgeForecaster
2026-03-19,2858669.2446774775,2851543.9835306685,2884005.080450874,total,total,30,RidgeForecaster
2026-03-20,2837572.1002970105,2829121.838458251,2837840.923767192,total,total,30,RidgeForecaster
2026-03-21,2950564.0440675933,2920889.2650844078,2976579.623013755,total,total,30,RidgeForecaster
2026-03-22,3035027.453707102,3005314.381358878,3035982.0008464428,total,total,30,RidgeForecaster
2026-03-23,2936539.88107357,2928279.4370382223,2962555.4600197314,total,total,30,RidgeForecaster
2026-03-24,2966304.0642184527,2958043.620183105,2975930.845114152,total,total,30,RidgeForecaster
2026-03-25,2983463.975915158,2975203.5318798106,3009479.5548613197,total,total,30,RidgeForecaster
2026-03-26,2935415.683619977,2905702.611271753,2944362.721342911,total,total,30,RidgeForecaster
2026-03-27,2924809.4880480478,2895134.709064862,2925764.0351873883,total,total,30,RidgeForecaster
2026-03-28,2954213.441151875,2945974.0879835733,2955167.9882912156,total,total,30,RidgeForecaster
2026-03-29,2616866.5381445526,2608416.276305794,2625813.5758674867,total,total,30,RidgeForecaster
2026-03-30,2621824.1243842323,2591766.4117506626,2630771.1621071664,total,total,30,RidgeForecaster
2026-03-31,2646159.9605698446,2635587.2470166427,2678845.7747737505,total,total,30,RidgeForecaster
2026-04-01,4399634.969021808,4389062.255468607,4399661.851368827,total,total,30,RidgeForecaster
2026-04-02,4074965.596337109,4066726.243168807,4100301.432110505,total,total,30,RidgeForecaster
2026-04-03,4422984.5863142405,4393309.807331055,4455117.853815289,total,total,30,RidgeForecaster
2026-04-04,4685827.486594059,4655769.773960489,4685827.486594059,total,total,30,RidgeForecaster
2026-04-05,4461187.247177058,4431129.534543488,4486523.082950454,total,total,30,RidgeForecaster
2026-04-06,4487352.063045336,4480177.522152615,4512687.898818732,total,total,30,RidgeForecaster
2026-04-07,4450284.694490365,4420609.915507179,4452818.278067704,total,total,30,RidgeForecaster
2026-04-08,4854231.108826084,4845970.664790737,4863857.889721783,total,total,30,RidgeForecaster
2026-04-09,4661168.46469075,4631110.752057181,4661168.46469075,total,total,30,RidgeForecaster
