date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,2744704.373081593,2259786.5527275554,3632971.06584845,total,total,7,elnet
2026-03-12,2647290.1373459273,2202993.019512283,3464503.9965476594,total,total,7,elnet
2026-03-13,2607469.3570246836,2119779.010373733,3550796.4382854896,total,total,7,elnet
2026-03-14,2551755.96448916,2087590.2891662326,3512534.439565495,total,total,7,elnet
2026-03-15,2265096.792515192,1777547.491196293,3208423.873775998,total,total,7,elnet
2026-03-16,2194957.89670513,1725883.816359594,3384994.5893944013,total,total,7,elnet
2026-03-17,2161748.0319454875,1671689.3524261615,3351784.7246347587,total,total,7,elnet
2026-03-11,2744704.373081593,2278778.282202165,3688902.520814987,total,total,14,elnet
2026-03-12,2647290.1373459273,2179976.4725568914,3464503.9965476594,total,total,14,elnet
2026-03-13,2607469.3570246836,2119779.010373733,3424683.2162264157,total,total,14,elnet
2026-03-14,2551755.96448916,2084442.2997001242,2268804.638645124,total,total,14,elnet
2026-03-15,2265096.792515192,1775038.1129958662,3508734.92495406,total,total,14,elnet
2026-03-16,2194957.89670513,1704734.103816582,3542057.1337341573,total,total,14,elnet
2026-03-17,2161748.0319454875,1671689.3524261615,2317790.4952791496,total,total,14,elnet
2026-03-18,2120861.3253817195,1635943.505027682,2898589.4690643386,total,total,14,elnet
2026-03-19,2084797.3811402554,1643191.6517534014,3328435.513579123,total,total,14,elnet
2026-03-20,2059323.032808634,1593396.9419292063,3249359.725497905,total,total,14,elnet
2026-03-21,2063927.7867880936,1625067.1642160863,3411027.023817121,total,total,14,elnet
2026-03-22,1980603.4528685585,1514414.2138926445,2994983.36769449,total,total,14,elnet
2026-03-23,1921831.4900344573,1471080.9431382287,2839685.4360049367,total,total,14,elnet
2026-03-24,1896533.4809673,1411352.5125167763,3069118.7798410426,total,total,14,elnet
2026-03-11,2744704.373081593,2280538.6977586653,3662558.3190520722,total,total,30,elnet
2026-03-12,2647290.1373459273,2196276.4423532123,4530403.771870914,total,total,30,elnet
2026-03-13,2607469.3570246836,2115003.6350926734,3399210.080936089,total,total,30,elnet
2026-03-14,2551755.96448916,2085566.7255132461,3898855.2015181873,total,total,30,elnet
2026-03-15,2265096.792515192,1844044.2859543238,3721728.9242603527,total,total,30,elnet
2026-03-16,2194957.89670513,1709776.9282546064,2886531.8497115294,total,total,30,elnet
2026-03-17,2161748.0319454875,1676567.0634949638,3105075.1132062934,total,total,30,elnet
2026-03-18,2120861.3253817195,1672767.8438305412,3364499.4578205873,total,total,30,elnet
2026-03-19,2084797.3811402554,1599348.9635327668,2902011.2403419875,total,total,30,elnet
2026-03-20,2059323.032808634,1546679.9494854666,2893988.2858258947,total,total,30,elnet
2026-03-21,2063927.7867880936,1594853.7064425577,3078307.7016140255,total,total,30,elnet
2026-03-22,1980603.4528685585,1531963.0981361754,2797817.3120702906,total,total,30,elnet
2026-03-23,1921831.4900344573,1449984.8833920083,3804945.124559444,total,total,30,elnet
2026-03-24,1896533.4809673,1427196.2525252777,2092061.6598200751,total,total,30,elnet
2026-03-25,1869662.3035293743,1403736.2126499466,3326294.435274535,total,total,30,elnet
2026-03-26,1849260.9188878336,1377414.3122453846,2767114.864858313,total,total,30,elnet
2026-03-27,1832468.371048627,1385514.1878699327,4274896.555238973,total,total,30,elnet
2026-03-28,1844692.0809036642,1354633.4013843383,3034728.7735929354,total,total,30,elnet
2026-03-29,1879366.9106047293,1435365.0222538686,2797220.8565752087,total,total,30,elnet
2026-03-30,1857538.5309950663,1406257.3868453866,2775392.4769655457,total,total,30,elnet
2026-03-31,1805857.1614336325,1313391.4395016225,3688970.795958619,total,total,30,elnet
2026-04-01,2705328.444978836,2215269.76545951,4052427.682007863,total,total,30,elnet
2026-04-02,2590339.6441651327,2126173.968842205,2831685.4199007046,total,total,30,elnet
2026-04-03,2517780.3693810813,2078537.8939198868,3461107.4506418873,total,total,30,elnet
2026-04-04,2561783.1904041045,2120549.227571766,2856767.202934382,total,total,30,elnet
2026-04-05,2565883.3681740304,2116893.236834302,3454150.060940888,total,total,30,elnet
2026-04-06,2552550.648957868,2065001.3476389688,3360809.2727949917,total,total,30,elnet
2026-04-07,2554593.826352619,2085256.5979105968,3389259.07936988,total,total,30,elnet
2026-04-08,2472758.711032111,2008593.0357091837,3819857.9480611384,total,total,30,elnet
2026-04-09,2465505.7954962663,1975282.002607718,3234278.703814277,total,total,30,elnet
