date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,3800920.7084907033,3794132.436841856,3801761.829857892,total,total,7,lasso
2026-03-12,3090244.6621022066,3083013.806363833,3095407.928199117,total,total,7,lasso
2026-03-13,3125501.7746120496,3087197.2188015245,3126254.91939264,total,total,7,lasso
2026-03-14,4080301.480796595,4073455.638652751,4080301.480796595,total,total,7,lasso
2026-03-15,5805508.537873472,5798084.794864716,5806261.682654062,total,total,7,lasso
2026-03-16,4797696.41809403,4786231.003559001,4798186.431573621,total,total,7,lasso
2026-03-17,4926731.122048028,4912807.965177274,4934262.569853931,total,total,7,lasso
2026-03-11,3800920.7084907033,3795474.1707032556,3800920.7084907033,total,total,14,lasso
2026-03-12,3090244.6621022066,3082762.504372916,3090244.6621022066,total,total,14,lasso
2026-03-13,3125501.7746120496,3118270.918873676,3126254.91939264,total,total,14,lasso
2026-03-14,4080301.480796595,4075538.2023029076,4081902.5640635015,total,total,14,lasso
2026-03-15,5805508.537873472,5794043.123338443,5806261.682654062,total,total,14,lasso
2026-03-16,4797696.41809403,4786482.305549918,4798186.431573621,total,total,14,lasso
2026-03-17,4926731.122048028,4918192.932174308,4926731.122048028,total,total,14,lasso
2026-03-18,5572863.815938212,5565632.9601998385,5582034.991509818,total,total,14,lasso
2026-03-19,4896766.132737237,4889535.276998864,4904297.58054314,total,total,14,lasso
2026-03-20,5004935.314175115,4966630.75836459,5005688.458955705,total,total,14,lasso
2026-03-21,5644804.179388181,5637958.337244337,5644804.179388181,total,total,14,lasso
2026-03-22,6612861.380134138,6606015.537990294,6613702.501501327,total,total,14,lasso
2026-03-23,5697262.35553445,5683535.22308117,5697262.35553445,total,total,14,lasso
2026-03-24,6020596.766615937,6006869.634162657,6028128.21442184,total,total,14,lasso
2026-03-11,3800920.7084907033,3792633.8206078997,3809300.094782922,total,total,30,lasso
2026-03-12,3090244.6621022066,3078779.2475671778,3097864.086494708,total,total,30,lasso
2026-03-13,3125501.7746120496,3114287.6620679377,3125501.7746120496,total,total,30,lasso
2026-03-14,4080301.480796595,4073070.6250582216,4089472.6563682007,total,total,30,lasso
2026-03-15,5805508.537873472,5799619.4159964975,5805508.537873472,total,total,30,lasso
2026-03-16,4797696.41809403,4792827.794542453,4802596.552889941,total,total,30,lasso
2026-03-17,4926731.122048028,4918730.829863765,4931894.388144938,total,total,30,lasso
2026-03-18,5572863.815938212,5565276.313151033,5580483.240330714,total,total,30,lasso
2026-03-19,4896766.132737237,4891319.594949789,4896766.132737237,total,total,30,lasso
2026-03-20,5004935.314175115,4998147.0425262675,5004935.314175115,total,total,30,lasso
2026-03-21,5644804.179388181,5628619.304599176,5644804.179388181,total,total,30,lasso
2026-03-22,6612861.380134138,6574556.824323613,6613351.39361373,total,total,30,lasso
2026-03-23,5697262.35553445,5693495.060814051,5705673.569206338,total,total,30,lasso
2026-03-24,6020596.766615937,6015032.891923553,6021349.911396528,total,total,30,lasso
2026-03-25,6503679.2319744425,6496773.6234206585,6503679.2319744425,total,total,30,lasso
2026-03-26,5893802.713989907,5885802.421805644,5902973.8895615125,total,total,30,lasso
2026-03-27,6100297.0801319,6086569.947678618,6100297.0801319,total,total,30,lasso
2026-03-28,6543090.73823615,6529258.260724979,6543580.751715741,total,total,30,lasso
2026-03-29,7076554.811454898,7064984.05186198,7076554.811454898,total,total,30,lasso
2026-03-30,6343798.380703149,6329965.903191979,6344551.52548374,total,total,30,lasso
2026-03-31,6740626.368401385,6733202.625392629,6748245.792793887,total,total,30,lasso
2026-04-01,7616165.1195402015,7604699.705005173,7616165.1195402015,total,total,30,lasso
2026-04-02,7336438.3089328045,7328956.151203514,7352449.141601867,total,total,30,lasso
2026-04-03,7559772.557195034,7552348.814186278,7560262.570674625,total,total,30,lasso
2026-04-04,7933719.944188708,7925758.303490495,7933719.944188708,total,total,30,lasso
2026-04-05,8174258.466408355,8158073.591619349,8174258.466408355,total,total,30,lasso
2026-04-06,7641890.44542763,7630425.030892601,7642643.59020822,total,total,30,lasso
2026-04-07,8010481.312707129,7999015.8981721,8019652.4882787345,total,total,30,lasso
2026-04-08,8543841.153303558,8543054.132485615,8551372.60110946,total,total,30,lasso
2026-04-09,8183136.956878193,8171671.542343164,8183136.956878193,total,total,30,lasso
