date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,3055431.400147585,3025373.6875140155,3058206.924848088,total,total,7,ridge
2026-03-12,2683526.594877174,2653468.8822436044,2715659.8623782233,total,total,7,ridge
2026-03-13,2566833.2177660502,2558382.955927291,2576459.9986617495,total,total,7,ridge
2026-03-14,2885455.3176306663,2878955.4944924195,2886167.9236468435,total,total,7,ridge
2026-03-15,3231026.344880286,3222521.567853496,3240653.1257759854,total,total,7,ridge
2026-03-16,2924335.4506137297,2908223.0043532983,2927790.7184869978,total,total,7,ridge
2026-03-17,2938333.589811259,2908275.877177689,2970466.857312308,total,total,7,ridge
2026-03-11,3055431.400147585,3046183.6872863336,3055458.282494603,total,total,14,ridge
2026-03-12,2683526.594877174,2672915.587958934,2683553.477224192,total,total,14,ridge
2026-03-13,2566833.2177660502,2556222.21084781,2570046.544516155,total,total,14,ridge
2026-03-14,2885455.3176306663,2879094.0831853645,2887988.901208006,total,total,14,ridge
2026-03-15,3231026.344880286,3201313.272532062,3240653.1257759854,total,total,14,ridge
2026-03-16,2924335.4506137297,2888586.480834557,2927790.7184869978,total,total,14,ridge
2026-03-17,2938333.589811259,2927760.876258057,2938333.589811259,total,total,14,ridge
2026-03-18,2975974.2767152367,2945916.564081667,3001310.112488633,total,total,14,ridge
2026-03-19,2858669.2446774775,2828611.532043908,2891355.0588813834,total,total,14,ridge
2026-03-20,2837572.1002970105,2829121.838458251,2847198.88119271,total,total,14,ridge
2026-03-21,2950564.0440675933,2920506.3314340236,2951276.6500837705,total,total,14,ridge
2026-03-22,3035027.453707102,3025779.740845851,3043974.4914300363,total,total,14,ridge
2026-03-23,2936539.88107357,2925967.167520368,2943665.9412353416,total,total,14,ridge
2026-03-24,2966304.0642184527,2936246.351584883,2998437.331719502,total,total,14,ridge
2026-03-11,3055431.400147585,3020027.0706537585,3080767.2359209815,total,total,30,ridge
2026-03-12,2683526.594877174,2672915.587958934,2719150.4304570155,total,total,30,ridge
2026-03-13,2566833.2177660502,2531084.247986878,2567545.8237822275,total,total,30,ridge
2026-03-14,2885455.3176306663,2876098.940791419,2910791.1534040626,total,total,30,ridge
2026-03-15,3231026.344880286,3216049.081508394,3231295.1683504675,total,total,30,ridge
2026-03-16,2924335.4506137297,2918092.528643492,2961994.185143347,total,total,30,ridge
2026-03-17,2938333.589811259,2931854.857540058,2975992.324340876,total,total,30,ridge
2026-03-18,2975974.2767152367,2968778.64495547,3011598.112295078,total,total,30,ridge
2026-03-19,2858669.2446774775,2849383.2384511875,2858669.2446774775,total,total,30,ridge
2026-03-20,2837572.1002970105,2826961.09337877,2837598.9826440285,total,total,30,ridge
2026-03-21,2950564.0440675933,2920850.9717193693,2951518.591206934,total,total,30,ridge
2026-03-22,3035027.453707102,3005314.381358878,3038482.7215803703,total,total,30,ridge
2026-03-23,2936539.88107357,2930387.326486379,3003578.8293625414,total,total,30,ridge
2026-03-24,2966304.0642184527,2959318.2064137543,2969517.3909685574,total,total,30,ridge
2026-03-25,2983463.975915158,2953750.903566934,2983732.7993853395,total,total,30,ridge
2026-03-26,2935415.683619977,2924804.6767017366,2960751.5193933733,total,total,30,ridge
2026-03-27,2924809.4880480478,2914236.774494846,2925764.0351873883,total,total,30,ridge
2026-03-28,2954213.441151875,2945974.0879835733,2963840.2220475744,total,total,30,ridge
2026-03-29,2616866.5381445526,2581117.56836538,2623992.5983063243,total,total,30,ridge
2026-03-30,2621824.1243842323,2586075.15460506,2630771.1621071664,total,total,30,ridge
2026-03-31,2646159.9605698446,2616485.181586659,2681783.796149686,total,total,30,ridge
2026-04-01,4399634.969021808,4389213.779906981,4400347.575037985,total,total,30,ridge
2026-04-02,4074965.596337109,4066726.243168807,4100301.432110505,total,total,30,ridge
2026-04-03,4422984.5863142405,4413736.873452988,4432611.367209939,total,total,30,ridge
2026-04-04,4685827.486594059,4656152.7076108735,4685827.486594059,total,total,30,ridge
2026-04-05,4461187.247177058,4431474.174828834,4461214.129524076,total,total,30,ridge
2026-04-06,4487352.063045336,4471049.798981493,4490127.587745839,total,total,30,ridge
2026-04-07,4450284.694490365,4439863.505375536,4475620.530263761,total,total,30,ridge
2026-04-08,4854231.108826084,4847948.001099005,4886364.376327133,total,total,30,ridge
2026-04-09,4661168.46469075,4650557.45777251,4661168.46469075,total,total,30,ridge
