model_name,grain,group_key,horizon,n_folds,mean_mae,mean_rmse,per_fold_mae,per_fold_rmse
NaiveLastValue,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
NaiveLastValue,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveLastValue,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveRollingMean(w=7),total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
NaiveRollingMean(w=7),total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveRollingMean(w=7),total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveSeasonalWeekly,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
NaiveSeasonalWeekly,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveSeasonalWeekly,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
RidgeForecaster,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
RidgeForecaster,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
RidgeForecaster,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
LassoForecaster,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
LassoForecaster,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
LassoForecaster,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
ElasticNetForecaster,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
ElasticNetForecaster,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
ElasticNetForecaster,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveLastValue,store,,7,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,14,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,30,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,7,1,96948.3167,100620.015,[96948.3167],[100620.015]
NaiveLastValue,store,,14,1,96948.3167,100620.015,[96948.3167],[100620.015]
NaiveLastValue,store,,30,1,96948.3167,100620.015,[96948.3167],[100620.015]
NaiveLastValue,store,,7,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,14,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,30,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveLastValue,store,,7,0,,,[],[]
NaiveLastValue,store,,14,0,,,[],[]
NaiveLastValue,store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,14,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,30,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,7,1,237791.2767,250871.5785,[237791.2767],[250871.5785]
NaiveRollingMean(w=7),store,,14,1,237791.2767,250871.5785,[237791.2767],[250871.5785]
NaiveRollingMean(w=7),store,,30,1,237791.2767,250871.5785,[237791.2767],[250871.5785]
NaiveRollingMean(w=7),store,,7,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,14,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,30,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveRollingMean(w=7),store,,7,0,,,[],[]
NaiveRollingMean(w=7),store,,14,0,,,[],[]
NaiveRollingMean(w=7),store,,30,0,,,[],[]
NaiveSeasonalWeekly,store,,7,1,0.0,0.0,[0.0],[0.0]
