date,category,sales_qty,sales_value,receipt_count,unique_items,unique_stores
2026-02-03,UNKNOWN,16.0,0.0,1,11,1
2026-02-09,UNKNOWN,26.5,0.0,1,12,1
2026-02-17,UNKNOWN,69.25,0.0,3,4,2
2026-02-18,UNKNOWN,3.5,0.0,1,5,1
2026-02-20,UNKNOWN,19.75,0.0,1,18,1
2026-02-21,UNKNOWN,65.0,0.0,2,5,2
2026-02-26,UNKNOWN,7.25,0.0,1,6,1
2026-02-27,UNKNOWN,250.0,0.0,1,1,1
2026-02-28,UNKNOWN,23.75,0.0,5,14,1
2026-03-01,UNKNOWN,13635.56668,3969318.28,4479,582,11
2026-03-02,UNKNOWN,13579.34188,3528287.8,3563,578,12
2026-03-03,UNKNOWN,12627.958,3239820.48,3469,558,13
2026-03-04,UNKNOWN,14641.05222,4498072.51,4683,599,13
2026-03-05,UNKNOWN,12683.188,3662678.54,3656,581,13
2026-03-06,UNKNOWN,12057.24842,3515438.39,3711,555,13
2026-03-07,UNKNOWN,26324.1391,4745998.68,6969,757,16
2026-03-08,UNKNOWN,14005.20861,4167577.59,4426,585,12
2026-03-09,UNKNOWN,12182.318,3314441.83,3465,568,12
2026-03-10,UNKNOWN,11265.595,3080297.69,3346,560,14
