date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,2744704.1693712594,2275630.0680346293,3522432.289390844,total,total,7,ElasticNetForecaster
2026-03-12,2647289.948063113,2179976.2612917707,3837326.607795915,total,total,7,ElasticNetForecaster
2026-03-13,2607469.1758968453,2138395.074560215,3797505.8356296476,total,total,7,ElasticNetForecaster
2026-03-14,2551755.74335877,2087939.8264503838,3495082.942968105,total,total,7,ElasticNetForecaster
2026-03-15,2265096.706247839,1795759.4569610287,3437681.958615612,total,total,7,ElasticNetForecaster
2026-03-16,2194957.8116384144,1709776.8312640102,3138285.0112477494,total,total,7,ElasticNetForecaster
2026-03-17,2161747.9475882854,1674198.635662259,2978961.7808426893,total,total,7,ElasticNetForecaster
2026-03-11,2744704.1693712594,2280538.475476578,3917289.421739032,total,total,14,ElasticNetForecaster
2026-03-12,2647289.948063113,2159740.6361370864,3416062.778613071,total,total,14,ElasticNetForecaster
2026-03-13,2607469.1758968453,2122551.3434726214,3780054.428264618,total,total,14,ElasticNetForecaster
2026-03-14,2551755.74335877,2084442.0565874279,3469609.8259949447,total,total,14,ElasticNetForecaster
2026-03-15,2265096.706247839,1777547.3943218128,3455133.3659806415,total,total,14,ElasticNetForecaster
2026-03-16,2194957.8116384144,1704734.0095985765,3138285.0112477494,total,total,14,ElasticNetForecaster
2026-03-17,2161747.9475882854,1676566.9672138812,2448116.67539951,total,total,14,ElasticNetForecaster
2026-03-18,2120861.2638842766,1653547.5771129346,3310897.923617079,total,total,14,ElasticNetForecaster
2026-03-19,2084797.322919156,1594573.520879318,3485498.0772895217,total,total,14,ElasticNetForecaster
2026-03-20,2059322.9758092975,1595157.2819146158,3942436.585350351,total,total,14,ElasticNetForecaster
2026-03-21,2063927.738462108,1617944.4399561859,3411027.0644801743,total,total,14,ElasticNetForecaster
2026-03-22,1980603.4124192123,1511266.1631324019,2923930.612028547,total,total,14,ElasticNetForecaster
2026-03-23,1921831.4305646229,1458015.5136562367,3094416.6829323955,total,total,14,ElasticNetForecaster
2026-03-24,1896533.4194387444,1408984.107512718,3069118.671806517,total,total,14,ElasticNetForecaster
2026-03-11,2744704.1693712594,2259786.3369470355,3662558.252007434,total,total,30,ElasticNetForecaster
2026-03-12,2647289.948063113,2200335.758237603,4047990.7024334786,total,total,30,ElasticNetForecaster
2026-03-13,2607469.1758968453,2119652.4149594377,3525323.25853302,total,total,30,ElasticNetForecaster
2026-03-14,2551755.74335877,2084442.0565874279,3898855.069376836,total,total,30,ElasticNetForecaster
2026-03-15,2265096.706247839,1796022.6049112089,3612196.0322659053,total,total,30,ElasticNetForecaster
2026-03-16,2194957.8116384144,1707408.499712388,2962735.610025081,total,total,30,ElasticNetForecaster
2026-03-17,2161747.9475882854,1674198.635662259,3351784.6073210877,total,total,30,ElasticNetForecaster
2026-03-18,2120861.2638842766,1635943.4314600527,3293446.5162520492,total,total,30,ElasticNetForecaster
2026-03-19,2084797.322919156,1599879.490494932,3274833.9826519582,total,total,30,ElasticNetForecaster
2026-03-20,2059322.9758092975,1546679.87471995,2837051.095828882,total,total,30,ElasticNetForecaster
2026-03-21,2063927.738462108,1578479.3090763227,3236512.9908298803,total,total,30,ElasticNetForecaster
2026-03-22,1980603.4124192123,1511529.311082582,2923930.612028547,total,total,30,ElasticNetForecaster
2026-03-23,1921831.4305646229,1457665.736669941,3804945.0401056763,total,total,30,ElasticNetForecaster
2026-03-24,1896533.4194387444,1429219.7326674024,3243632.7454568106,total,total,30,ElasticNetForecaster
2026-03-25,1869662.2421373916,1402348.5553660495,3059698.901870194,total,total,30,ElasticNetForecaster
2026-03-26,1849260.8590599229,1363812.4296741376,2863640.8943865867,total,total,30,ElasticNetForecaster
2026-03-27,1832468.313676217,1365154.626904875,3233169.068046583,total,total,30,ElasticNetForecaster
2026-03-28,1844692.0294879861,1359511.049113582,3034728.6892207884,total,total,30,ElasticNetForecaster
2026-03-29,1879366.799475138,1394185.8191007338,2797220.882111313,total,total,30,ElasticNetForecaster
2026-03-30,1857538.394400137,1388201.1451133266,2775392.4770363118,total,total,30,ElasticNetForecaster
2026-03-31,1805857.03693164,1315633.234891802,3688970.6464726934,total,total,30,ElasticNetForecaster
2026-04-01,2705328.289459523,2238014.6026881807,3648655.489068858,total,total,30,ElasticNetForecaster
2026-04-02,2590339.4760270594,2121265.3746904293,3368067.596046644,total,total,30,ElasticNetForecaster
2026-04-03,2517780.259665098,2073483.1338674633,3690365.5120328707,total,total,30,ElasticNetForecaster
2026-04-04,2561783.092029955,2117781.1955687506,3505110.29163929,total,total,30,ElasticNetForecaster
2026-04-05,2565883.279211262,2080702.2988368575,3343611.399230846,total,total,30,ElasticNetForecaster
2026-04-06,2552550.554850333,2067369.5744759287,3742587.214583135,total,total,30,ElasticNetForecaster
2026-04-07,2554593.733527366,2087280.046756024,3332321.8535469505,total,total,30,ElasticNetForecaster
2026-04-08,2472758.59394197,1987577.6135675656,3662795.253674772,total,total,30,ElasticNetForecaster
2026-04-09,2465505.6803860567,1980324.7000116524,3243233.800405641,total,total,30,ElasticNetForecaster
