date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,2884327.2661808836,2870852.1247684676,2887201.793123101,total,total,7,LassoForecaster
2026-03-12,2809559.026880952,2764601.663263237,2812433.5538231693,total,total,7,LassoForecaster
2026-03-13,2909766.5034700064,2899076.638561275,2909766.5034700064,total,total,7,LassoForecaster
2026-03-14,3384753.973178488,3373008.0191850346,3387628.5001207055,total,total,7,LassoForecaster
2026-03-15,4014501.279220447,3974902.560190151,4017375.806162664,total,total,7,LassoForecaster
2026-03-16,3692268.5052016256,3677737.274704488,3692268.5052016256,total,total,7,LassoForecaster
2026-03-17,3736815.899427849,3723340.758015433,3736815.899427849,total,total,7,LassoForecaster
2026-03-11,2884327.2661808836,2872581.31218743,2884327.2661808836,total,total,14,LassoForecaster
2026-03-12,2809559.026880952,2801714.4477728345,2809559.026880952,total,total,14,LassoForecaster
2026-03-13,2909766.5034700064,2898020.5494765528,2938511.772892181,total,total,14,LassoForecaster
2026-03-14,3384753.973178488,3374181.4515013923,3389721.4874013625,total,total,14,LassoForecaster
2026-03-15,4014501.279220447,4003811.4143117154,4043246.5486426214,total,total,14,LassoForecaster
2026-03-16,3692268.5052016256,3647311.1415839107,3692268.5052016256,total,total,14,LassoForecaster
2026-03-17,3736815.899427849,3726126.0345191173,3736815.899427849,total,total,14,LassoForecaster
2026-03-18,3716814.5083183013,3701747.4133624216,3747427.0584053295,total,total,14,LassoForecaster
2026-03-19,3609386.008214282,3564428.644596567,3609386.008214282,total,total,14,LassoForecaster
2026-03-20,3579281.73738355,3568709.215706454,3608027.0068057245,total,total,14,LassoForecaster
2026-03-21,3657702.906372207,3612745.5427544923,3688315.4564592354,total,total,14,LassoForecaster
2026-03-22,3742314.537845324,3730568.58385187,3745189.064787541,total,total,14,LassoForecaster
2026-03-23,3623398.653583876,3608867.423086738,3671042.4362703892,total,total,14,LassoForecaster
2026-03-24,3662680.6878059423,3617723.3241882273,3693293.2378929704,total,total,14,LassoForecaster
2026-03-11,2884327.2661808836,2844728.5471505877,2934002.408409625,total,total,30,LassoForecaster
2026-03-12,2809559.026880952,2795027.7963838144,2838304.2963031265,total,total,30,LassoForecaster
2026-03-13,2909766.5034700064,2869631.9199809683,2909766.5034700064,total,total,30,LassoForecaster
2026-03-14,3384753.973178488,3369686.8782226085,3432397.7558650016,total,total,30,LassoForecaster
2026-03-15,4014501.279220447,4004005.631574528,4043246.5486426214,total,total,30,LassoForecaster
2026-03-16,3692268.5052016256,3681578.640292894,3692268.5052016256,total,total,30,LassoForecaster
2026-03-17,3736815.899427849,3729274.425049618,3767428.449514877,total,total,30,LassoForecaster
2026-03-18,3716814.5083183013,3708969.9292101837,3747427.0584053295,total,total,30,LassoForecaster
2026-03-19,3609386.008214282,3598696.1433055503,3639998.55830131,total,total,30,LassoForecaster
2026-03-20,3579281.73738355,3568709.215706454,3579281.73738355,total,total,30,LassoForecaster
2026-03-21,3657702.906372207,3618104.1873419113,3688315.4564592354,total,total,30,LassoForecaster
2026-03-22,3742314.537845324,3702179.9543562857,3742314.537845324,total,total,30,LassoForecaster
2026-03-23,3623398.653583876,3611652.699590422,3654011.203670904,total,total,30,LassoForecaster
2026-03-24,3662680.6878059423,3652108.1661288464,3665555.2147481595,total,total,30,LassoForecaster
2026-03-25,3668991.9209236894,3661147.3418155718,3699604.4710107176,total,total,30,LassoForecaster
2026-03-26,3656836.39475129,3616701.811262252,3659710.921693507,total,total,30,LassoForecaster
2026-03-27,3679337.1396932164,3639738.4206629205,3679337.1396932164,total,total,30,LassoForecaster
2026-03-28,3720878.959607696,3710189.0946989646,3720878.959607696,total,total,30,LassoForecaster
2026-03-29,3113463.556345388,3101717.602351934,3116338.083287605,total,total,30,LassoForecaster
2026-03-30,3111636.855688796,3066679.492071081,3114511.382631013,total,total,30,LassoForecaster
2026-03-31,3116422.837088189,3101891.6065910514,3145168.1065103635,total,total,30,LassoForecaster
2026-04-01,4628997.302820483,4614466.072323346,4628997.302820483,total,total,30,LassoForecaster
2026-04-02,4172802.083919936,4164840.1615801826,4220445.866606449,total,total,30,LassoForecaster
2026-04-03,4899048.861855355,4859450.14282506,4929661.411942383,total,total,30,LassoForecaster
2026-04-04,5031229.237206197,4986271.873588482,5031229.237206197,total,total,30,LassoForecaster
2026-04-05,4784449.654870662,4739492.2912529465,4813194.924292836,total,total,30,LassoForecaster
2026-04-06,4886331.65213866,4879041.728957947,4915076.921560834,total,total,30,LassoForecaster
2026-04-07,4805182.706002576,4765583.98697228,4808057.232944794,total,total,30,LassoForecaster
2026-04-08,5120218.145370518,5109645.6236934215,5123092.672312736,total,total,30,LassoForecaster
2026-04-09,4955763.525925377,4910806.162307663,4955763.525925377,total,total,30,LassoForecaster
