date,forecast,ci_lower,ci_upper,grain,group_key,horizon,model_name
2026-03-11,2884327.2661808836,2839369.9025631687,2887201.793123101,total,total,7,lasso
2026-03-12,2809559.026880952,2764601.663263237,2856977.102951662,total,total,7,lasso
2026-03-13,2909766.5034700064,2899076.638561275,2912641.0304122237,total,total,7,lasso
2026-03-14,3384753.973178488,3374064.1082697567,3384753.973178488,total,total,7,lasso
2026-03-15,4014501.279220447,3999970.0487233093,4017375.806162664,total,total,7,lasso
2026-03-16,3692268.5052016256,3676245.8382517444,3697010.3128086966,total,total,7,lasso
2026-03-17,3736815.899427849,3691858.535810134,3767428.449514877,total,total,7,lasso
2026-03-11,2884327.2661808836,2874977.464622827,2884327.2661808836,total,total,14,lasso
2026-03-12,2809559.026880952,2795548.0210097944,2809559.026880952,total,total,14,lasso
2026-03-13,2909766.5034700064,2895755.497598849,2912641.0304122237,total,total,14,lasso
2026-03-14,3384753.973178488,3380705.526282108,3389721.4874013625,total,total,14,lasso
2026-03-15,4014501.279220447,3974366.695731409,4017375.806162664,total,total,14,lasso
2026-03-16,3692268.5052016256,3642571.537936209,3697010.3128086966,total,total,14,lasso
2026-03-17,3736815.899427849,3723340.758015433,3736815.899427849,total,total,14,lasso
2026-03-18,3716814.5083183013,3671857.1447005863,3747652.7650211323,total,total,14,lasso
2026-03-19,3609386.008214282,3564428.644596567,3656804.084284992,total,total,14,lasso
2026-03-20,3579281.73738355,3568709.215706454,3582156.2643257673,total,total,14,lasso
2026-03-21,3657702.906372207,3612745.5427544923,3657702.906372207,total,total,14,lasso
2026-03-22,3742314.537845324,3727783.307348186,3745189.064787541,total,total,14,lasso
2026-03-23,3623398.653583876,3608867.423086738,3623398.653583876,total,total,14,lasso
2026-03-24,3662680.6878059423,3617723.3241882273,3693293.2378929704,total,total,14,lasso
2026-03-11,2884327.2661808836,2839453.0790441437,2931971.048867397,total,total,30,lasso
2026-03-12,2809559.026880952,2794491.9319250723,2840171.5769679802,total,total,30,lasso
2026-03-13,2909766.5034700064,2860069.5362045895,2909766.5034700064,total,total,30,lasso
2026-03-14,3384753.973178488,3373722.461073827,3415592.229881319,total,total,30,lasso
2026-03-15,4014501.279220447,3999876.009555946,4014501.279220447,total,total,30,lasso
2026-03-16,3692268.5052016256,3688248.0084383027,3726114.51129379,total,total,30,lasso
2026-03-17,3736815.899427849,3729274.425049618,3816568.5355499187,total,total,30,lasso
2026-03-18,3716814.5083183013,3709221.4804077023,3745559.7777404757,total,total,30,lasso
2026-03-19,3609386.008214282,3599843.2731061126,3609386.008214282,total,total,30,lasso
2026-03-20,3579281.73738355,3565270.7315123924,3579281.73738355,total,total,30,lasso
2026-03-21,3657702.906372207,3617568.322883169,3657702.906372207,total,total,30,lasso
2026-03-22,3742314.537845324,3702179.9543562857,3747056.345452395,total,total,30,lasso
2026-03-23,3623398.653583876,3619505.473052538,3654011.203670904,total,total,30,lasso
2026-03-24,3662680.6878059423,3657907.2281144042,3665555.2147481595,total,total,30,lasso
2026-03-25,3668991.9209236894,3628857.3374346513,3668991.9209236894,total,total,30,lasso
2026-03-26,3656836.39475129,3641769.29979541,3687674.651454121,total,total,30,lasso
2026-03-27,3679337.1396932164,3664805.909196079,3679337.1396932164,total,total,30,lasso
2026-03-28,3720878.959607696,3710189.0946989646,3725620.767214767,total,total,30,lasso
2026-03-29,3113463.556345388,3063766.589079971,3113463.556345388,total,total,30,lasso
2026-03-30,3111636.855688796,3061939.888423379,3116378.663295867,total,total,30,lasso
2026-03-31,3116422.837088189,3076824.118057893,3145168.1065103635,total,total,30,lasso
2026-04-01,4628997.302820483,4613930.207864604,4628997.302820483,total,total,30,lasso
2026-04-02,4172802.083919936,4165260.609541705,4222477.226148677,total,total,30,lasso
2026-04-03,4899048.861855355,4884517.631358217,4903790.669462427,total,total,30,lasso
2026-04-04,5031229.237206197,4991630.518175902,5031229.237206197,total,total,30,lasso
2026-04-05,4784449.654870662,4744315.071381625,4784449.654870662,total,total,30,lasso
2026-04-06,4886331.65213866,4867581.0426198,4891073.459745731,total,total,30,lasso
2026-04-07,4805182.706002576,4793899.642700397,4836020.962705407,total,total,30,lasso
2026-04-08,5120218.145370518,5114610.3689856315,5150830.695457546,total,total,30,lasso
2026-04-09,4955763.525925377,4941752.52005422,4955763.525925377,total,total,30,lasso
