model_name,grain,group_key,horizon,n_folds,mean_mae,mean_rmse,per_fold_mae,per_fold_rmse
NaiveLastValue,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
NaiveLastValue,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveLastValue,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveRollingMean(w=7),total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
NaiveRollingMean(w=7),total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveRollingMean(w=7),total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveSeasonalWeekly,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
NaiveSeasonalWeekly,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveSeasonalWeekly,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
RidgeForecaster,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
RidgeForecaster,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
RidgeForecaster,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
LassoForecaster,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
LassoForecaster,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
LassoForecaster,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
ElasticNetForecaster,total,,7,1,3201945.1429,3478647.451,[3201945.1429],[3478647.451]
ElasticNetForecaster,total,,14,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
ElasticNetForecaster,total,,30,1,3429266.5264,3631602.2204,[3429266.5264],[3631602.2204]
NaiveLastValue,store,,7,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,14,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,30,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,7,1,209656.8529,223364.6694,[209656.8529],[223364.6694]
NaiveLastValue,store,,14,1,209656.8529,223364.6694,[209656.8529],[223364.6694]
NaiveLastValue,store,,30,1,209656.8529,223364.6694,[209656.8529],[223364.6694]
NaiveLastValue,store,,7,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,14,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,30,1,0.0,0.0,[0.0],[0.0]
NaiveLastValue,store,,7,1,38051.4733,46697.6176,[38051.4733],[46697.6176]
NaiveLastValue,store,,14,1,38051.4733,46697.6176,[38051.4733],[46697.6176]
NaiveLastValue,store,,30,1,38051.4733,46697.6176,[38051.4733],[46697.6176]
NaiveLastValue,store,,7,1,175770.33,200771.7388,[175770.33],[200771.7388]
NaiveLastValue,store,,14,1,175770.33,200771.7388,[175770.33],[200771.7388]
NaiveLastValue,store,,30,1,175770.33,200771.7388,[175770.33],[200771.7388]
NaiveLastValue,store,,7,1,74960.01,77205.8822,[74960.01],[77205.8822]
NaiveLastValue,store,,14,1,74960.01,77205.8822,[74960.01],[77205.8822]
NaiveLastValue,store,,30,1,74960.01,77205.8822,[74960.01],[77205.8822]
NaiveLastValue,store,,7,1,35574.6467,40200.6641,[35574.6467],[40200.6641]
NaiveLastValue,store,,14,1,35574.6467,40200.6641,[35574.6467],[40200.6641]
NaiveLastValue,store,,30,1,35574.6467,40200.6641,[35574.6467],[40200.6641]
NaiveLastValue,store,,7,1,168549.8967,182386.0885,[168549.8967],[182386.0885]
NaiveLastValue,store,,14,1,168549.8967,182386.0885,[168549.8967],[182386.0885]
NaiveLastValue,store,,30,1,168549.8967,182386.0885,[168549.8967],[182386.0885]
NaiveLastValue,store,,7,1,57468.3733,61194.9035,[57468.3733],[61194.9035]
NaiveLastValue,store,,14,1,57468.3733,61194.9035,[57468.3733],[61194.9035]
NaiveLastValue,store,,30,1,57468.3733,61194.9035,[57468.3733],[61194.9035]
NaiveLastValue,store,,7,1,115641.35,131048.9103,[115641.35],[131048.9103]
NaiveLastValue,store,,14,1,115641.35,131048.9103,[115641.35],[131048.9103]
NaiveLastValue,store,,30,1,115641.35,131048.9103,[115641.35],[131048.9103]
NaiveLastValue,store,,7,1,30853.7967,37883.3959,[30853.7967],[37883.3959]
NaiveLastValue,store,,14,1,30853.7967,37883.3959,[30853.7967],[37883.3959]
NaiveLastValue,store,,30,1,30853.7967,37883.3959,[30853.7967],[37883.3959]
NaiveLastValue,store,,7,1,213041.6733,218792.6664,[213041.6733],[218792.6664]
NaiveLastValue,store,,14,1,213041.6733,218792.6664,[213041.6733],[218792.6664]
NaiveLastValue,store,,30,1,213041.6733,218792.6664,[213041.6733],[218792.6664]
NaiveLastValue,store,,7,1,192481.1267,194495.6552,[192481.1267],[194495.6552]
NaiveLastValue,store,,14,1,192481.1267,194495.6552,[192481.1267],[194495.6552]
NaiveLastValue,store,,30,1,192481.1267,194495.6552,[192481.1267],[194495.6552]
NaiveRollingMean(w=7),store,,7,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,14,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,30,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,7,1,331009.3857,339857.3127,[331009.3857],[339857.3127]
NaiveRollingMean(w=7),store,,14,1,331009.3857,339857.3127,[331009.3857],[339857.3127]
NaiveRollingMean(w=7),store,,30,1,331009.3857,339857.3127,[331009.3857],[339857.3127]
NaiveRollingMean(w=7),store,,7,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,14,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,30,1,0.0,0.0,[0.0],[0.0]
NaiveRollingMean(w=7),store,,7,1,29216.8739,34235.7297,[29216.8739],[34235.7297]
NaiveRollingMean(w=7),store,,14,1,29216.8739,34235.7297,[29216.8739],[34235.7297]
NaiveRollingMean(w=7),store,,30,1,29216.8739,34235.7297,[29216.8739],[34235.7297]
NaiveRollingMean(w=7),store,,7,1,135813.2922,136847.7937,[135813.2922],[136847.7937]
NaiveRollingMean(w=7),store,,14,1,135813.2922,136847.7937,[135813.2922],[136847.7937]
NaiveRollingMean(w=7),store,,30,1,135813.2922,136847.7937,[135813.2922],[136847.7937]
